245->,-0.125,0,-0.125,0,0
266->,0,0,0,0,0
273->,0.125,0,0.125,0,0
279->,0,-0.125,0,-0.125,0
298->,0,0,0,0,0
305->,0,-0.125,0,-0.125,0
896->,0,-0.375,0,0,0
1041->,0.125,-0.25,0.125,0,0
1199->,0,-0.5,0.875,0.75,0
1802->,0,0,0,-1,0
1928->,0,0,0,0.125,0
1931->,0.125,0,0.125,0,0
1941->,0.875,-0.125,0.125,-0.125,0
2031->,-0.25,0.75,-0.5,-0.5,0
2054->,0,0,0,0,0
2066->,0,1,0,0,0
2198->,0.25,0,0.25,0.125,0
2205->,0,0,0,0,0
2206->,0,0.125,0,0.125,0
2830->,0,-1,0,-1,0
3233->,0,0.125,0,0,0
3405->,0,0,0,0,0
3612->,0,0,0,0,0
3629->,0.125,0,0,0,0
3728->,0,-0.125,0,0.125,0
3796->,0.25,0.5,0,0.875,0
3848->,0.125,-0.125,0,-0.125,0
4222->,0,0,0,-0.25,0
4269->,-0.125,-0.5,-0.5,-1,0
4302->,0,0,0.875,0,0
4303->,0,0.5,0,1,0
4334->,0.375,0,0,0,0
4335->,0,-0.125,0,-0.125,0
4339->,0,0.125,1,0.125,0
4364->,-0.125,-0.375,0,0.125,0
4365->,-0.375,0,0.125,-0.875,0
4367->,0,-0.375,0,-0.375,0
4438->,0.25,-0.25,0,-0.125,0
4443->,-0.125,0,0,0,0
4459->,-0.125,0,0,0.125,0
4492->,-0.25,-0.125,-1,0,0
4524->,0,0.125,0.5,-0.125,0
4526->,-0.125,-0.25,0.25,-0.125,0
4556->,0.25,-0.5,0.25,-0.375,0
4588->,-0.25,-0.5,0,0,0
4589->,-0.5,0.375,0,0,0
4627->,0,0.5,0.25,0.5,0
4649->,-0.125,0.125,0.125,0,0
4681->,0,0,0.125,0.125,0
4690->,0.125,0.5,0.25,0.5,0
5024->,0,0,0.25,-0.125,0
5026->,-0.25,0.125,0.25,0.125,0
5101->,-0.125,0,-0.5,0.25,0
5133->,-0.125,0.375,0,0,0
5134->,0.375,0,0,0.5,0
5166->,0,0,0,-0.125,0
5195->,0,-0.375,-0.125,-0.375,0
5197->,0.125,-0.125,0,0,0
5204->,-0.25,-0.875,-0.75,-1,0
5228->,0.25,0,0.375,0,0
5259->,-0.25,0.25,0.25,0.125,0
5269->,0.25,0,0.25,-0.25,0
5291->,0.25,0,0,0,0
5322->,-0.25,0,-0.375,-0.25,0
5355->,-0.25,0.25,0,0.125,0
5449->,-0.375,0,0,0.25,0
5450->,0,0,0.25,0,0
5458->,0,0.5,0,0.5,0
5512->,0.125,0.125,0,0,0
5659->,0,0,-0.125,0,0
5825->,0.25,0,0,0,0
5932->,-0.125,0,-0.125,0,0
5964->,-0.125,0.25,-0.125,0.375,0
5965->,0.25,0.25,0.375,0,0
5966->,0.25,0,0,0,0
6028->,0,0.375,0.125,-0.125,0
6059->,0,0.125,0.25,0,0
6063->,-0.25,-0.25,-1,-0.875,0
6065->,-0.75,0.125,0,0.125,0
6091->,0,0,0.25,0,0
6122->,-0.125,0,0.25,0,0
6123->,0,0,0,0,0
6187->,0,-0.125,0.25,0,0
6248->,-1,0,-0.125,0,0
6251->,-0.25,0.25,0,0,0
6280->,0.5,0,-0.375,0,0
6281->,0,0.25,0,0,0
6289->,-0.25,-0.25,0,0.5,0
6313->,0.25,0.125,0,0.125,0
6343->,0.125,0,0.125,0.125,0
6344->,0,0,0.125,0.125,0
6345->,0,0.125,0.125,0.125,0
6445->,-0.25,0,0.25,0.125,0
6655->,0.25,0.25,0,0.25,0
6656->,0.25,0,0.25,0,0
6673->,0,0,0,0.125,0
2030->,0,-0.25,0,-0.5,0.045454545
