191->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545454545
192->,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.5
352->,0.5,0.25,0.125,0,0.25,0,0.125,0,0,0,0,0.125,0,0,0,0.125,0.25,0.5,0.125,0,0.5,0,0.125,0,0,0,0,0.125,0,0,0,0.125,0.25,0.25,0.125,1,0.25,0,0.125,0,0,0,0,0.125,0,0,0,0.25,0.25,0.25,0.25,0.125,0.25,0,0.25,0,0,0.125,0.125,0.125,0,0,0,0.25,0,0
353->,0.25,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0.125,0.125,0,0,0,0.125,0.5,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0.125,0,0.5,0,0.5,0.25,0,0,0.125,0,0,0,0,0,0.25,0.25,0.125,0,0,0.25,1,0,0
403->,0.5,0.5,0.125,0.125,0.5,0.5,0.125,0.125,0.125,0,0,0.125,0.5,0.5,0.25,0.5,0.5,0.5,0.125,0.125,0.5,1,0.125,0.125,0.125,0,0,0.5,1,0.25,0.125,0.25,0.5,0.5,0.25,0.125,0.5,0.5,0.25,0.25,0.25,0,0,1,0.5,0.5,0.25,0.5,1,0.5,0.25,0.25,0.5,1,0.25,0.125,0.125,0,0,1,1,0.25,0.25,0.25,0,0
426->,0.5,0.125,0.125,0.5,0.125,0.125,0.125,0,0,0.125,0.125,0.25,0.125,0.25,0.5,0.25,0.125,0.125,0.125,1,0.125,0.125,0.125,0,0,0.5,0.5,0.25,0.125,0.125,0.25,0.25,0.5,0.25,0.125,1,0.25,0.25,0.125,0,0,1,1,0.25,0.25,0.25,0.5,0.125,0.25,0.25,0.25,1,0.25,0.125,0.25,0,0,1,1,0.25,0.125,0.25,0.25,0.5,0,0
443->,0,0.5,0.125,1,0.5,0.25,0.125,0.25,0.25,1,1,0,0.25,0.25,1,0.5,0,0.5,0.125,0.5,0.5,0.25,0.125,0.25,0.25,0.5,0.5,0,0.25,0.25,1,0.5,0,0.5,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.125,0.25,0.25,1,1,0,0.5,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,1,0.5,0,0.727272727
490->,1,1,0,0.125,1,0.5,0,0,0,0.25,0.25,0.125,0.5,1,0.25,0.5,0.5,0.5,0,0.125,0.5,0.5,0,0,0,0.25,0.25,0.5,0.5,1,0.25,0.25,0.25,0.25,0.125,0.25,0.25,1,0.125,0,0,0.25,0.25,0.25,1,1,0.25,0.5,0.25,0.25,0,0.5,0.25,0.5,0,0,0,0.125,0.125,0.5,0.5,1,0.25,0.5,0,0
999->,0.5,0,1,0,0,0.25,1,1,1,0.5,0.5,1,0.25,0.5,0.5,0.5,0.5,0.5,1,1,0.5,1,1,0.125,0.125,0.25,0.25,0.5,1,1,0.25,0.5,0.5,0.125,0.5,0,0.125,0.25,0.5,1,1,0.25,0.25,1,0.25,0.25,0.5,0.5,0.5,0.25,0.5,0,0.25,0.25,0.5,0.125,0.125,0.125,0.125,0.5,0.25,0.5,0.25,0.25,0,0.772727273
1040->,0.5,0.5,0.125,0.25,0.5,0.125,0.125,0,0,0.5,0.5,0.5,0.125,0.125,0,0.5,0.5,0.25,0.125,0.25,0.25,0,0.125,0,0,0.25,0.25,0.5,0,0.125,0,0.125,0.5,0.25,0.5,0.5,0.25,0.125,0.5,0,0,0.5,0.5,0.5,0.125,0.125,0,0.5,0.25,0.5,0,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0,0.125,1,0.25,0,0
1666->,0.125,0,0.5,0,0,0.125,0.5,0.5,0.5,0.25,0.25,0.25,0.125,0.5,0.25,0.5,0.5,0,1,0,0,0.25,1,1,1,0.5,0.5,1,0.25,0.5,0.5,0.5,0.25,0,0.25,0,0,0,0.25,0.25,0.25,0.125,0.125,0.25,0,0.25,0.5,0.25,0.5,0.125,0.5,0,0.125,0.25,0.5,1,1,0.25,0.25,1,0.25,0.25,0.5,0.5,0.045454545,0.5
