168->,0.125,0,0,0,0.125,0,0.125,0,0.125,0,0,0,0.125,0.125,0.125,0.125,0,0,0,0,0.125,0,0.125,0,0,-0.125,0,-0.125,0,0,0,0,0.537190083,0.105371901,0,0,0,0,0.357438017,0,0,0,0,0.954545455
340->,0.5,0,0.125,0.5,0,0,0.5,1,0,0,0.125,1,0.125,0,0.125,1,0.5,0,0,-0.5,0.5,-0.375,0,-0.875,-0.125,0,0.375,0,-0.5,-1,0.125,-0.875,0.826446281,0.101239669,0,0,0,0,0.07231405,0,0,0,0,0.954545455
522->,0,0,0,0.125,0,0,0,0.125,0,0.125,0,0.125,0,0,0.125,0.125,0,-0.125,0,0,0,-0.125,-0.125,-0.125,0,0,-0.125,0,0,-0.125,0,0,0.533057851,0.202479339,0,0,0,0,0.239669421,0.024793388,0,0,0,0.954545455
808->,0,0,0,0,0.125,0.125,0.125,0,0,0,0,0,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.125,0.66322314,0.157024793,0.01446281,0,0,0,0.165289256,0,0,0,0,0.954545455
1903->,0.5,0.125,0,0.125,0.5,0.125,0.125,0.125,0.125,0.125,0,0,0.125,0.125,0,0,0.375,0,0,0.125,0.375,-0.125,0,0,0.375,0,0.125,0.125,0.375,0,0,0,0.266528926,0.305785124,0.119834711,0.010330579,0,0,0.225206612,0.066115702,0.006198347,0,0,0.954545455
2027->,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,-0.125,0,0,0.741735537,0.01446281,0,0,0,0,0.243801653,0,0,0,0,0.954545455
2059->,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,-0.125,0,0,0,0.603305785,0.030991736,0,0,0,0,0.365702479,0,0,0,0,0.954545455
2294->,0.125,0.125,0.25,0.125,0.125,0,0.125,0.25,0.125,0.125,0.125,0.25,0.125,0.125,0.125,0.25,0,0,0.125,-0.125,0,0.125,0,-0.125,0,-0.125,0,0,0,-0.25,0,-0.125,0.491735537,0.17768595,0.006198347,0,0,0,0.30785124,0.016528926,0,0,0,0.954545455
3704->,0.5,0.125,0.5,0.5,0.25,0.125,0.5,0.25,0.5,0.125,0.5,0.25,0.25,0.125,0.25,0.25,0,0,0,0.25,0.375,0,0.375,0.25,0,0,0.25,0,-0.25,-0.125,0.125,0,0.039256198,0.126033058,0.268595041,0.233471074,0.165289256,0,0.115702479,0.041322314,0.010330579,0,0,0.954545455
4097->,0,0.125,0,0.125,0.125,0.125,0,0.125,0,0.125,0,0,0.125,0.125,0,0.125,0,0,0,0.125,-0.125,-0.125,-0.125,0,0,0,0,0,0.125,0,0,-0.125,0.859504132,0.08677686,0,0,0,0,0.041322314,0.012396694,0,0,0,0.954545455
4164->,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.125,0.022727273,0.08677686,0.045454545,0.138429752,0.012396694,0,0.051652893,0.084710744,0.254132231,0.303719008,0,0.954545455
4197->,0.25,0,0,0,0.125,0.125,0.125,0.125,0.25,0,0.125,0,0.125,0.125,0.125,0.125,0,0,-0.125,0,0.25,0,0.25,0.125,0,0,0,0,0,0,0,0,0.411157025,0.316115702,0.142561983,0.016528926,0,0,0.113636364,0,0,0,0,0.954545455
4270->,0,0.5,0.5,0.25,0,0.5,0.5,0.5,0,1,0.5,0.25,0,1,0.5,0.5,0,-0.5,0,0,-0.5,0.25,-1,0.25,0,-0.5,0,0,-0.5,0,-1,0,0.450413223,0.214876033,0.04338843,0.02892562,0,0,0.074380165,0.024793388,0.064049587,0.080578512,0.018595041,0.954545455
4274->,1,0,1,1,1,0,1,1,1,0,1,0.125,1,0,1,0.125,0,0,0,0.875,1,0,1,0.875,0,0,0,0.875,0,-1,1,0.875,0.367768595,0.101239669,0.049586777,0.101239669,0.090909091,0.070247934,0.138429752,0.04338843,0.037190083,0,0,0.954545455
4306->,0,0.5,1,0.125,0,1,1,0.125,0,0.25,0.125,1,0,0.5,0.125,0.25,0,0.25,0.875,-0.875,-0.5,0.875,-0.25,-0.875,0,0.5,0.875,-0.125,-1,0.875,-0.5,-0.125,0.198347107,0.359504132,0.059917355,0.024793388,0,0,0.280991736,0.061983471,0.01446281,0,0,0.954545455
4490->,0,0,0.125,0.5,0.125,0,0.25,1,0,0,0.25,0.5,0,0,0.5,0.25,0,0,-0.125,0,0,-0.375,0,-0.25,0.125,0,-0.25,0.75,-0.125,-1,0,0.25,0.522727273,0.332644628,0.010330579,0.020661157,0,0,0.113636364,0,0,0,0,0.954545455
4616->,0,0.125,0.125,0,0,0.125,0.125,0.125,0,0,0.25,0.25,0,0.125,0.5,0.25,0,0.125,-0.125,-0.25,-0.125,0.125,0,0,0,0,-0.375,-0.125,-0.125,0,-0.125,0.25,0.530991736,0.245867769,0.04338843,0.01446281,0,0,0.159090909,0.006198347,0,0,0,0.954545455
4685->,0.25,0.125,0.25,0.25,0.25,0.125,0.25,0.125,0.5,0.125,0.25,0.125,0.5,0.125,0.25,0.25,-0.25,0,0,0.125,0.125,0,0.375,0.125,-0.25,0,0,-0.125,0,0,0.375,0,0.190082645,0.188016529,0.130165289,0.109504132,0.02892562,0,0.202479339,0.08677686,0.051652893,0.012396694,0,0.954545455
4702->,0.125,0.25,0.125,0,0.25,0.25,0.125,0.125,0.25,0.25,0.125,0.25,0.25,0.25,0.125,0.25,-0.125,0,0,-0.25,-0.125,0.125,0,-0.125,0,0,0,-0.125,0.125,0.125,0,-0.125,0.128099174,0.171487603,0.092975207,0.196280992,0.309917355,0.037190083,0.064049587,0,0,0,0,0.954545455
4739->,0.125,0,0,0,0.125,0,0.125,0,0.125,0,0,0,0.125,0,0.125,0,0,0,0,0,0.125,0,0.125,0,0,0,0,0,0,0,0.125,0.125,0.409090909,0.584710744,0,0,0,0,0.006198347,0,0,0,0,0.954545455
4991->,0,0.125,0.5,0.25,0,0,0.25,0.25,0,0.125,1,0.5,0,0.5,0.5,0.5,0,0,-0.5,-0.25,-0.125,0.25,-0.125,0.5,0,-0.5,-0.25,-0.25,-0.25,-0.25,-0.5,0,0.431818182,0.225206612,0.04338843,0.103305785,0.078512397,0.039256198,0.076446281,0.002066116,0,0,0,0.954545455
4995->,0.25,0.25,0.125,0,0.25,0.25,0.125,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.125,0,0,-0.125,-0.25,0,0.125,0,0,0,0,-0.125,0,0.125,0.125,0,0.125,0.006198347,0.020661157,0.049586777,0.309917355,0.225206612,0,0.002066116,0.016528926,0.146694215,0.223140496,0,0.954545455
4996->,0.125,0,0.125,0,0.125,0.125,0.125,0.125,0.25,0.25,0,0,0.25,0.125,0,0.125,-0.125,-0.25,0.125,0,0.125,0.125,0,0,-0.125,0,0.125,0,0,0,0.125,-0.125,0.208677686,0.45661157,0.090909091,0.150826446,0.04338843,0,0.04338843,0.004132231,0.002066116,0,0,0.954545455
5020->,0,0,0.125,0.125,0,0.125,0.125,0.125,0,0,0.125,0.125,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.125,-0.125,0,-0.125,0.125,0.526859504,0,0,0,0,0,0.473140496,0,0,0,0,0.954545455
5027->,0.25,0.125,0,0,0.25,0.125,0.125,0,0.25,0.125,0.25,0,0.25,0.125,0.125,0.125,0,0,-0.25,0,0.125,0,0.125,0.25,0,0,0,-0.125,0.125,0.125,0.125,0,0.219008264,0.458677686,0.175619835,0.041322314,0,0,0.068181818,0.018595041,0.018595041,0,0,0.954545455
5203->,0,0.125,0.25,0.5,0,0.25,0.5,0.5,0.125,0.25,0.25,1,0.125,0.25,0.5,1,-0.125,-0.125,0,-0.5,-0.125,-0.25,-0.125,-0.75,-0.125,0,0,-0.5,-0.5,-0.25,-0.125,-0.5,0.241735537,0.039256198,0.012396694,0.022727273,0,0,0.30785124,0.078512397,0.115702479,0.165289256,0.016528926,0.954545455
5260->,0.25,0,0.125,0.125,0.5,0,0.125,0.125,0.125,0,0.125,0.125,0,0,0.125,0.125,0.125,0,0,0,0.25,0,0.125,0,0.5,0,0,0,0.375,-0.125,0,0,0.466942149,0.181818182,0,0,0,0,0.351239669,0,0,0,0,0.954545455
5358->,0,0.125,0,0.125,0,0.5,0,0.125,0,0.25,0,0.125,0,0.5,0,0.125,0,-0.125,0,0,-0.125,-0.125,-0.25,-0.125,0,0,0,0,0,0.375,-0.5,-0.125,0.417355372,0.243801653,0.006198347,0,0,0,0.326446281,0.006198347,0,0,0,0.954545455
5403->,0,0.125,0.25,0.25,0.125,0.125,0.25,0.25,0,0.125,0.5,0.25,0.125,0.25,0.125,0.25,0,0,-0.25,0,-0.125,0,-0.125,0.25,0,-0.125,0.125,0,-0.125,-0.125,-0.125,-0.125,0.382231405,0.285123967,0.113636364,0.084710744,0.08677686,0,0.047520661,0,0,0,0,0.954545455
5431->,0.5,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0.25,0,-0.25,0,0,0,0.026859504,0.101239669,0.126033058,0.438016529,0.041322314,0,0.053719008,0.080578512,0.132231405,0,0,0.954545455
5435->,0.125,0.125,0.25,0.25,0.125,0.25,0.25,0.125,0.125,0,0.25,0.25,0.25,0,0.25,0.25,0,0.125,0,0,0,0,0.125,0,-0.125,0.25,0,-0.125,-0.125,0.125,0.25,0,0.045454545,0.161157025,0.090909091,0.283057851,0.386363636,0,0.02892562,0.004132231,0,0,0,0.954545455
5490->,0.25,0.25,0.5,0.25,0.5,0.25,1,0.25,0.25,0.5,0.5,0.125,0.25,0.25,0.5,0.125,0,-0.25,0,0.125,0,0.25,-0.25,0.375,0.25,0,0.5,0.125,-0.5,0,0,0.375,0.04338843,0.092975207,0.055785124,0.055785124,0.07231405,0.006198347,0.165289256,0.146694215,0.320247934,0.041322314,0,0.954545455
5787->,0.125,0.125,0.25,0.125,0.125,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0.25,0.125,0.125,0,0.125,0,0,0.125,-0.125,0,0,0,-0.125,0,0,0,0,0.125,0.051652893,0.128099174,0.171487603,0.200413223,0.051652893,0,0.185950413,0.138429752,0.061983471,0.010330579,0,0.954545455
